Date,,,,Close,,,,,
1/19/2021,,,,217.44,,,,,
1/20/2021,,,,225.3,,,,,
1/21/2021,,,,225.88,,,,,
1/22/2021,,,,226.14,,,,,
1/25/2021,,,,226.98,,,,,
1/26/2021,,,,228.77,,,,,
1/27/2021,,,,220.03,,,,,
1/28/2021,,,,222.78,,,,,
1/29/2021,,,,218.57,,,,,
2/1/2021,,,,222.62,,,,,
2/2/2021,,,,226.18,,,,,
2/3/2021,,,,230.85,,,,,
2/4/2021,,,,232.22,,,,,
2/5/2021,,,,234.43,,,,,
2/8/2021,,,,235.33,,,,,
2/9/2021,,,,235.82,,,,,
2/10/2021,,,,237.3,,,,,
2/11/2021,,,,237.39,,,,,
2/12/2021,,,,237.55,,,,,
2/16/2021,,,,238.55,,,,,
2/17/2021,,,,239.7,,,,,
2/18/2021,,,,237.89,,,,,
2/19/2021,,,,235.35,,,,,
2/22/2021,,,,234.59,,,,,
2/23/2021,,,,237.06,,,,,
2/24/2021,,,,238.11,,,,,
2/25/2021,,,,232.01,,,,,
2/26/2021,,,,232.08,,,,,
3/1/2021,,,,237.54,,,,,
3/2/2021,,,,235.89,,,,,
